"","comuna","nombre","area","perimetro"
"0",6,"Comuna 6",5385422.149,12496.285
"1",4,"Comuna 4",4524983.049,11430.279
"2",5,"Comuna 5",4197624.307,8441.174
"3",7,"Comuna 7",5107266.513,12547.823
"4",8,"Comuna 8",5266743.456,12178.376
"5",9,"Comuna 9",2899408.689,7983.949
"6",21,"Comuna 21",4828926.999,16149.224
"7",13,"Comuna 13",4737261.83,10030.224
"8",12,"Comuna 12",2329397.942,8254.095
"9",10,"Comuna 10",4297730.149,9404.276
"10",20,"Comuna 20",2439498.349,8448.577
"11",16,"Comuna 16",4275833.686,11700.41
"12",15,"Comuna 15",4060432.724,10425.092
"13",17,"Comuna 17",12555929.024,16841.538
"14",18,"Comuna 18",5428611.017,11681.301
"15",22,"Comuna 22",10589124.983,15552.137
"16",2,"Comuna 2",10861027.461,26477.419
"17",1,"Comuna 1",3842242.577,15518.149
"18",3,"Comuna 3",3704462.889,11003.318
"19",19,"Comuna 19",11318090.525,26480.361
"20",14,"Comuna 14",4543322.069,8937.073
"21",11,"Comuna 11",3699600.968,9315.019
