Column1,comuna,nombre,area,perimetro,Column2
0,6,Comuna 6,5385422149,12496285,0.062416164
1,4,Comuna 4,4524983049,11430279,0.016726195
2,5,Comuna 5,4197624307,8441174,0.047506058
3,7,Comuna 7,5107266513,12547823,0.013467225
4,8,Comuna 8,5266743456,12178376,0.0480751
5,9,Comuna 9,2899408689,7983949,0.011766411
6,21,Comuna 21,4828926999,16149224,0.01825488
7,13,Comuna 13,473726183,10030224,0.033247412
8,12,Comuna 12,2329397942,8254095,0.006449218
9,10,Comuna 10,4297730149,9404276,0.041309099
10,20,Comuna 20,2439498349,8448577,0.005337478
11,16,Comuna 16,4275833686,1170041,0.014855167
12,15,Comuna 15,4060432724,10425092,0.015164371
13,17,Comuna 17,12555929024,16841538,0.164251635
14,18,Comuna 18,5428611017,11681301,0.031620747
15,22,Comuna 22,10589124983,15552137,0.004456301
16,2,Comuna 2,10861027461,26477419,0.089382688
17,1,Comuna 1,3842242577,15518149,0.006706239
18,3,Comuna 3,3704462889,11003318,0.020113331
19,19,Comuna 19,11318090525,26480361,0.093564428
20,14,Comuna 14,4543322069,8937073,0.020749113
21,11,Comuna 11,3699600968,9315019,0.000306649
